game,pool,guarantee,condition,budget,tickets,coverage_pct,pool_3_pct,ticket_3_pct,pool_4_pct,ticket_4_pct,jackpot_main_pct,ticket_4_of_all6_pct
6/49,6,3,3,0,1,100.0,1.863754500202234,1.863754500202234,0.09871411351522359,0.09871411351522359,7.151123842018516e-06,
6/49,6,4,4,0,1,100.0,1.863754500202234,1.863754500202234,0.09871411351522359,0.09871411351522359,7.151123842018516e-06,
6/49,6,4,4,7,1,100.0,1.863754500202234,1.863754500202234,0.09871411351522359,0.09871411351522359,7.151123842018516e-06,
6/49,6,4,5,0,1,100.0,1.863754500202234,1.863754500202234,0.09871411351522359,0.09871411351522359,7.151123842018516e-06,
6/49,7,3,3,0,4,100.0,3.0951780257978223,3.0951780257978223,0.22185646607478246,0.2156993484468045,2.8604495368074064e-05,
6/49,7,4,4,0,5,100.0,3.0951780257978223,3.0951780257978223,0.22185646607478246,0.22185646607478246,3.575561921009258e-05,
6/49,7,4,4,7,5,100.0,3.0951780257978223,3.0951780257978223,0.22185646607478246,0.22185646607478246,3.575561921009258e-05,
6/49,7,4,5,0,1,100.0,3.0951780257978223,1.863754500202234,0.22185646607478246,0.09871411351522359,7.151123842018516e-06,
6/49,8,3,3,0,4,100.0,4.696028609072087,4.696028609072087,0.4270937203407139,0.33327097553343094,2.8604495368074064e-05,
6/49,8,4,4,0,7,100.0,4.696028609072087,4.696028609072087,0.4270937203407139,0.4270937203407139,5.005786689412961e-05,
6/49,8,4,4,7,7,100.0,4.696028609072087,4.696028609072087,0.4270937203407139,0.4270937203407139,5.005786689412961e-05,
6/49,8,4,5,0,3,100.0,4.696028609072087,4.086180767824748,0.4270937203407139,0.2629039169279687,2.145337152605555e-05,
6/49,9,3,3,0,7,100.0,6.674315508728091,6.674315508728091,0.7394548097600827,0.5107618692923305,5.005786689412961e-05,
6/49,9,4,4,0,12,100.0,6.674315508728091,6.674315508728091,0.7394548097600827,0.7394548097600827,8.58134861042222e-05,
6/49,9,4,4,7,7,69.05,6.674315508728091,6.250396887373231,0.7394548097600827,0.5213455325785179,5.005786689412961e-05,
6/49,9,4,5,0,3,100.0,6.674315508728091,4.76668171263123,0.7394548097600827,0.2876468054213528,2.145337152605555e-05,
6/49,10,3,3,0,10,100.0,9.02706385724755,9.02706385724755,1.1845693621826832,0.7754321138092778,7.151123842018517e-05,
6/49,10,4,4,0,20,100.0,9.02706385724755,9.02706385724755,1.1845693621826832,1.1845693621826832,0.00014302247684037033,
6/49,10,4,4,7,7,44.76,9.02706385724755,7.322557733883227,1.1845693621826832,0.5631939093020103,5.005786689412961e-05,
6/49,10,4,5,0,7,100.0,9.02706385724755,7.458564958234576,1.1845693621826832,0.5486914301503968,5.005786689412961e-05,
6/49,11,3,3,0,11,100.0,11.741773490154618,11.741773490154618,1.7878381694953653,0.9553543896744636,7.866236226220367e-05,
6/49,11,4,4,0,34,100.0,11.741773490154618,11.741773490154618,1.7878381694953653,1.7878381694953653,0.00024313821062862956,
6/49,11,4,4,7,7,29.09,11.741773490154618,7.689274515625779,1.7878381694953653,0.5737632703405137,5.005786689412961e-05,
6/49,11,4,5,0,10,100.0,11.741773490154618,10.35425523333545,1.7878381694953653,0.797471877490379,7.151123842018517e-05,
6/49,12,3,3,0,15,100.0,14.797806264041233,14.797806264041233,2.57367516849478,1.2377522701957748,0.00010726685763027775,
