game,method,percentile,is_random,n_train,n_test,runtime_sec,n_eval,family,avg_hits_topk,max_hits_topk,rate_4plus,rate_3plus,rate_1plus,blacklist_size,cpu_pct_peak,cpu_pct_avg,ram_gb_peak,gpu_pct_peak,gpu_pct_avg,vram_mb_peak,blocks,failed,error,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k6_bl,k7_bl,k8_bl,k9_bl,k10_bl,k11_bl,k12_bl,k13_bl,k14_bl,k15_bl,k16_bl,k17_bl,k18_bl,k19_bl,k20_bl,rate_4plus_k6,rate_4plus_k7,rate_4plus_k8,rate_4plus_k9,rate_4plus_k10,rate_4plus_k11,rate_4plus_k12,rate_4plus_k13,rate_4plus_k14,rate_4plus_k15,rate_4plus_k16,rate_4plus_k17,rate_4plus_k18,rate_4plus_k19,rate_4plus_k20,rate_3plus_k6,rate_3plus_k7,rate_3plus_k8,rate_3plus_k9,rate_3plus_k10,rate_3plus_k11,rate_3plus_k12,rate_3plus_k13,rate_3plus_k14,rate_3plus_k15,rate_3plus_k16,rate_3plus_k17,rate_3plus_k18,rate_3plus_k19,rate_3plus_k20,rate_1plus_k6,rate_1plus_k7,rate_1plus_k8,rate_1plus_k9,rate_1plus_k10,rate_1plus_k11,rate_1plus_k12,rate_1plus_k13,rate_1plus_k14,rate_1plus_k15,rate_1plus_k16,rate_1plus_k17,rate_1plus_k18,rate_1plus_k19,rate_1plus_k20,tiebreak_k6,tiebreak_k7,tiebreak_k8,tiebreak_k9,tiebreak_k10,tiebreak_k11,tiebreak_k12,tiebreak_k13,tiebreak_k14,tiebreak_k15,tiebreak_k16,tiebreak_k17,tiebreak_k18,tiebreak_k19,tiebreak_k20,k5,k5_bl,rate_4plus_k5,rate_3plus_k5,rate_1plus_k5,tiebreak_k5,k1,k1_bl,rate_4plus_k1,rate_3plus_k1,rate_1plus_k1,tiebreak_k1
joker_urna1,anti_cooc_last,10,False,1969,219,0.3246874000033131,219,cooccurrence,0.5981735159817352,3,0.0,0.0045662100456621,0.5068493150684932,5,57.7,38.0,0.15,0.0,0.0,0.0,219,False,,0.6894977168949772,0.7990867579908676,0.8904109589041096,0.9908675799086758,1.082191780821918,1.17351598173516,1.2511415525114156,1.3881278538812785,1.4931506849315068,1.6027397260273972,1.7077625570776256,1.8356164383561644,1.9634703196347032,2.0730593607305936,,0.6757990867579908,0.7534246575342466,0.8356164383561644,0.9223744292237442,1.0502283105022832,1.1141552511415524,1.2557077625570776,1.36986301369863,1.4794520547945205,1.6027397260273972,1.7123287671232876,1.8310502283105023,1.9497716894977168,2.0319634703196345,,0.0,0.0,0.0,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0136986301369863,0.0182648401826484,0.0228310502283105,0.0365296803652968,0.0547945205479452,0.0684931506849315,0.0867579908675799,0.1050228310502283,,0.0136986301369863,0.0182648401826484,0.0319634703196347,0.045662100456621,0.0684931506849315,0.0776255707762557,0.0958904109589041,0.1278538812785388,0.136986301369863,0.1598173515981735,0.1963470319634703,0.2374429223744292,0.2876712328767123,0.319634703196347,,0.5616438356164384,0.6164383561643836,0.6529680365296804,0.684931506849315,0.726027397260274,0.7534246575342466,0.776255707762557,0.821917808219178,0.8584474885844748,0.8812785388127854,0.8858447488584474,0.908675799086758,0.9315068493150684,0.958904109589041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5981735159817352,0.589041095890411,0.0,0.0045662100456621,0.5068493150684932,0.0,,,,,,
joker_urna1,anti_cooc_last,30,False,1531,657,0.8564589999878081,657,cooccurrence,0.5722983257229832,3,0.0,0.0045662100456621,0.4809741248097412,5,102.5,48.3,0.15,0.0,0.0,0.0,657,False,,0.6986301369863014,0.8082191780821918,0.91324200913242,1.0136986301369864,1.1354642313546424,1.2496194824961948,1.3409436834094368,1.4672754946727549,1.569254185692542,1.6849315068493151,1.7884322678843227,1.9010654490106544,2.0121765601217656,2.1293759512937593,,0.7077625570776256,0.7990867579908676,0.9071537290715372,1.0106544901065448,1.1385083713850837,1.234398782343988,1.3439878234398783,1.4459665144596652,1.5585996955859969,1.6834094368340944,1.8036529680365296,1.8934550989345509,2.0121765601217656,2.1171993911719937,,0.0,0.0,0.0015220700152207,0.0030441400304414,0.0030441400304414,0.0060882800608828,0.0106544901065449,0.0213089802130898,0.0258751902587519,0.0365296803652968,0.0471841704718417,0.0669710806697108,0.0791476407914764,0.0974124809741248,,0.0091324200913242,0.0167427701674277,0.0258751902587519,0.0426179604261796,0.0624048706240487,0.0867579908675799,0.106544901065449,0.1415525114155251,0.1552511415525114,0.1765601217656012,0.2207001522070015,0.2617960426179604,0.3089802130898021,0.350076103500761,,0.5555555555555556,0.6179604261796042,0.6621004566210046,0.7062404870624048,0.7519025875190258,0.7838660578386606,0.8051750380517504,0.837138508371385,0.8721461187214612,0.893455098934551,0.908675799086758,0.9254185692541856,0.939117199391172,0.9558599695585996,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5722983257229832,0.5722983257229832,0.0,0.0045662100456621,0.4809741248097412,0.0,,,,,,
joker_urna1,anti_cooc_last,60,False,875,1313,1.6919993000046816,1313,cooccurrence,0.5620715917745621,3,0.0,0.005331302361005331,0.4744859101294745,5,84.7,54.4,0.15,0.0,0.0,0.0,1313,False,,0.6877380045696877,0.7996953541507997,0.9146991622239147,1.0152322924600152,1.1386138613861385,1.2498095963442497,1.3396801218583396,1.4645849200304646,1.5712109672505712,1.6763137852246763,1.7913175932977914,1.900990099009901,2.0137090632140136,2.1302361005331303,,0.6778370144706778,0.7875095201827875,0.9063214013709063,1.0198019801980198,1.140898705255141,1.239146991622239,1.3465346534653466,1.4546839299314547,1.5666412795125666,1.6976389946686976,1.8141660319878141,1.9108910891089108,2.025894897182026,2.1370906321401373,,0.0,0.0007616146230007616,0.0015232292460015233,0.002284843869002285,0.002284843869002285,0.005331302361005331,0.009900990099009901,0.020563594821020565,0.02513328255902513,0.03655750190403656,0.04493526275704494,0.0594059405940594,0.0715917745620716,0.08834729626808835,,0.009900990099009901,0.015993907083015995,0.027418126428027417,0.03884234577303884,0.05483625285605483,0.07920792079207921,0.09748667174409749,0.12871287128712872,0.1568926123381569,0.17745620715917745,0.22391469916222392,0.26275704493526275,0.3054074638233054,0.3480578827113481,,0.5544554455445545,0.6161462300076161,0.6664127951256664,0.7151561309977151,0.7555217060167555,0.7837014470677837,0.8118811881188119,0.8415841584158416,0.8712871287128713,0.8941355674028941,0.9108910891089109,0.9299314546839299,0.9474485910129474,0.9626808834729627,,0.0,0.0,0.0007616146230007616,0.0,0.0,0.0,0.0,0.0007616146230007616,0.0,0.0,0.0,0.0,0.0,0.0,,0.5620715917745621,0.5567402894135567,0.0,0.005331302361005331,0.4744859101294745,0.0,,,,,,
joker_urna1,anti_cooc_last,100,False,80,2108,1.9576425999985076,2108,cooccurrence,0.5398481973434535,3,0.0,0.003320683111954459,0.4601518026565465,5,110.2,61.7,0.15,0.0,0.0,0.0,2108,False,,0.6598671726755219,0.7694497153700189,0.8861480075901328,0.9924098671726755,1.1091081593927894,1.2243833017077799,1.3273244781783682,1.4492409867172675,1.5555028462998102,1.661764705882353,1.7703984819734346,1.8927893738140418,2.0056925996204935,2.1171726755218216,,0.6603415559772297,0.7718216318785579,0.8975332068311196,1.006166982922201,1.1285578747628084,1.2333965844402277,1.3477229601518026,1.454459203036053,1.5721062618595825,1.7011385199240987,1.8183111954459203,1.9198292220113853,2.0441176470588234,2.1598671726755216,,0.0,0.0004743833017077799,0.0009487666034155598,0.0018975332068311196,0.0018975332068311196,0.003795066413662239,0.008064516129032258,0.016129032258064516,0.019924098671726755,0.02988614800759013,0.04222011385199241,0.056451612903225805,0.06878557874762808,0.0849146110056926,,0.006641366223908918,0.014705882352941176,0.025142314990512334,0.03700189753320683,0.05550284629981025,0.07969639468690702,0.09724857685009487,0.12618595825426945,0.15417457305502846,0.18074003795066412,0.22248576850094876,0.26280834914611007,0.3045540796963947,0.3425047438330171,,0.5370018975332068,0.5986717267552182,0.6518026565464896,0.7016129032258065,0.7428842504743833,0.7784629981024668,0.8121442125237192,0.8372865275142315,0.8629032258064516,0.8861480075901328,0.9027514231499051,0.924573055028463,0.9421252371916509,0.9577798861480076,,0.010436432637571158,0.008064516129032258,0.007590132827324478,0.007115749525616698,0.011385199240986717,0.007590132827324478,0.009487666034155597,0.008064516129032258,0.005218216318785579,0.011385199240986717,0.005218216318785579,0.007115749525616698,0.006641366223908918,0.006641366223908918,,0.5398481973434535,0.5464895635673624,0.0,0.003320683111954459,0.4601518026565465,0.009962049335863378,,,,,,
joker_urna1,ar_ls_pooled,10,False,1969,219,1.176444900003844,219,timeseries,0.589041095890411,3,0.0,0.0136986301369863,0.4748858447488584,5,83.9,59.2,0.15,0.0,0.0,0.0,219,False,,0.730593607305936,0.8401826484018264,0.9634703196347032,1.0456621004566211,1.1461187214611872,1.2511415525114156,1.3470319634703196,1.4337899543378996,1.5799086757990868,1.7031963470319635,1.7990867579908676,1.908675799086758,2.050228310502283,2.1598173515981736,,0.730593607305936,0.8401826484018264,0.9634703196347032,1.0456621004566211,1.1461187214611872,1.2511415525114156,1.3470319634703196,1.4337899543378996,1.5799086757990868,1.7031963470319635,1.7990867579908676,1.908675799086758,2.050228310502283,2.1552511415525113,,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0091324200913242,0.0136986301369863,0.0136986301369863,0.0319634703196347,0.0365296803652968,0.0593607305936073,0.0776255707762557,0.1050228310502283,,0.0182648401826484,0.0273972602739726,0.045662100456621,0.0639269406392694,0.0730593607305936,0.0867579908675799,0.1004566210045662,0.1461187214611872,0.1780821917808219,0.2237442922374429,0.2557077625570776,0.2968036529680365,0.3470319634703196,0.3835616438356164,,0.5525114155251142,0.5981735159817352,0.6575342465753424,0.7077625570776256,0.7397260273972602,0.776255707762557,0.8127853881278538,0.8310502283105022,0.867579908675799,0.8812785388127854,0.908675799086758,0.9223744292237442,0.9406392694063926,0.9406392694063926,,0.3150684931506849,0.2922374429223744,0.2876712328767123,0.3333333333333333,0.319634703196347,0.3105022831050228,0.365296803652968,0.2968036529680365,0.3698630136986301,0.3150684931506849,0.3333333333333333,0.228310502283105,0.3378995433789954,0.3470319634703196,,0.589041095890411,0.589041095890411,0.0,0.0136986301369863,0.4748858447488584,0.2922374429223744,,,,,,
joker_urna1,ar_ls_pooled,30,False,1531,657,3.3669724999926984,657,timeseries,0.547945205479452,3,0.0,0.0106544901065449,0.4627092846270928,5,177.5,62.0,0.15,0.0,0.0,0.0,657,False,,0.665144596651446,0.7899543378995434,0.91324200913242,1.0076103500761036,1.1065449010654491,1.2237442922374429,1.3409436834094368,1.430745814307458,1.547945205479452,1.660578386605784,1.76103500761035,1.8691019786910197,2.0076103500761033,2.1156773211567734,,0.665144596651446,0.7899543378995434,0.91324200913242,1.0076103500761036,1.1065449010654491,1.2237442922374429,1.3409436834094368,1.430745814307458,1.547945205479452,1.660578386605784,1.765601217656012,1.8721461187214612,2.009132420091324,2.1141552511415527,,0.0,0.0,0.0,0.0015220700152207,0.0045662100456621,0.0091324200913242,0.0121765601217656,0.015220700152207,0.0213089802130898,0.0350076103500761,0.0441400304414003,0.0578386605783866,0.0730593607305936,0.1004566210045662,,0.0167427701674277,0.0197869101978691,0.0289193302891933,0.045662100456621,0.0563165905631659,0.0791476407914764,0.1004566210045662,0.1339421613394216,0.1598173515981735,0.1933028919330289,0.2313546423135464,0.2694063926940639,0.3272450532724505,0.3576864535768645,,0.5357686453576864,0.6012176560121766,0.6636225266362252,0.7062404870624048,0.7336377473363774,0.7732115677321156,0.8097412480974124,0.8310502283105022,0.8645357686453576,0.8843226788432268,0.9056316590563166,0.9208523592085236,0.939117199391172,0.9467275494672754,,0.3165905631659056,0.2785388127853881,0.2724505327245053,0.3089802130898021,0.2968036529680365,0.3257229832572298,0.3105022831050228,0.3013698630136986,0.319634703196347,0.3028919330289193,0.3333333333333333,0.3059360730593607,0.4155251141552511,0.441400304414003,,0.547945205479452,0.547945205479452,0.0,0.0106544901065449,0.4627092846270928,0.2694063926940639,,,,,,
joker_urna1,ar_ls_pooled,60,False,875,1313,5.957144100000733,1313,timeseries,0.5346534653465347,3,0.0,0.005331302361005331,0.4607768469154608,5,103.1,63.6,0.15,0.0,0.0,0.0,1313,False,,0.6496572734196496,0.7608530083777608,0.900990099009901,1.0015232292460015,1.1111957349581112,1.2284843869002284,1.3457730388423457,1.4470677837014472,1.5567402894135567,1.674028941355674,1.7753236862147754,1.8926123381568927,2.0137090632140136,2.1317593297791317,,0.6496572734196496,0.7608530083777608,0.900990099009901,1.0015232292460015,1.1111957349581112,1.2284843869002284,1.3457730388423457,1.4470677837014472,1.5567402894135567,1.674028941355674,1.7776085300837776,1.8941355674028941,2.0144706778370143,2.130997715156131,,0.0,0.0,0.0,0.0007616146230007616,0.0030464584920030465,0.006092916984006093,0.010662604722010662,0.016755521706016754,0.02513328255902513,0.03655750190403656,0.04493526275704494,0.06092916984006093,0.0753998476770754,0.09748667174409749,,0.009900990099009901,0.014470677837014471,0.02513328255902513,0.04112718964204113,0.05864432597105865,0.08073115003808073,0.11195734958111196,0.1370906321401371,0.15841584158415842,0.19421172886519422,0.22543792840822544,0.26961157654226964,0.31911652703731913,0.357958872810358,,0.5346534653465347,0.5978674790555979,0.6656511805026657,0.7029702970297029,0.7364813404417365,0.7814166031987814,0.8134044173648134,0.8377760853008378,0.8674790555978675,0.8880426504188881,0.9078446306169079,0.9276466108149276,0.9428789032749428,0.9512566641279513,,0.27875095201827876,0.26808834729626807,0.261995430312262,0.2894135567402894,0.2901751713632902,0.3038842345773039,0.2955064737242955,0.32368621477532367,0.3115003808073115,0.31683168316831684,0.33663366336633666,0.31911652703731913,0.37776085300837775,0.39603960396039606,,0.5346534653465347,0.5346534653465347,0.0,0.005331302361005331,0.4607768469154608,0.2361005331302361,,,,,,
joker_urna1,ar_ls_pooled,100,False,80,2108,8.767920800004504,2108,timeseries,0.5422201138519924,3,0.0,0.0056925996204933585,0.4639468690702087,5,110.0,63.9,0.15,0.0,0.0,0.0,2108,False,,0.6555977229601518,0.7651802656546489,0.8946869070208728,0.9981024667931688,1.1043643263757115,1.222011385199241,1.3377609108159392,1.4530360531309299,1.560721062618596,1.6759962049335864,1.7841555977229602,1.8937381404174574,2.015180265654649,2.129506641366224,,0.6555977229601518,0.7651802656546489,0.8946869070208728,0.9981024667931688,1.1043643263757115,1.2234345351043643,1.3387096774193548,1.4535104364326377,1.5597722960151803,1.6740986717267552,1.7827324478178368,1.9013282732447818,2.019449715370019,2.129032258064516,,0.0,0.0,0.0004743833017077799,0.0018975332068311196,0.003795066413662239,0.008064516129032258,0.011859582542694497,0.016129032258064516,0.023719165085388995,0.03557874762808349,0.04696394686907021,0.0635673624288425,0.07969639468690702,0.10009487666034156,,0.010436432637571158,0.015180265654648957,0.025616698292220113,0.03889943074003795,0.05550284629981025,0.07637571157495256,0.1062618595825427,0.13709677419354838,0.1608159392789374,0.19497153700189754,0.22817836812144213,0.2689753320683112,0.31451612903225806,0.3519924098671727,,0.5360531309297912,0.5986717267552182,0.6574952561669829,0.7001897533206831,0.7348197343453511,0.7789373814041746,0.8116698292220114,0.8410815939278937,0.8671726755218216,0.8908918406072106,0.9103415559772297,0.926944971537002,0.9440227703984819,0.9549335863377609,,0.2808349146110057,0.27798861480075904,0.2808349146110057,0.28889943074003793,0.29601518026565465,0.30787476280834913,0.3187855787476281,0.3581593927893738,0.3723908918406072,0.39041745730550287,0.4321631878557875,0.4497153700189753,0.5099620493358634,0.547438330170778,,0.5422201138519924,0.5422201138519924,0.0,0.0056925996204933585,0.4639468690702087,0.2428842504743833,,,,,,
joker_urna1,autocorr_lag,10,False,1969,219,0.35539589999825694,219,timeseries,0.6073059360730594,3,0.0,0.0045662100456621,0.5205479452054794,5,74.6,50.9,0.15,0.0,0.0,0.0,219,False,,0.680365296803653,0.7945205479452054,0.867579908675799,0.9452054794520548,1.0319634703196348,1.1689497716894977,1.2465753424657535,1.3926940639269407,1.5205479452054795,1.639269406392694,1.726027397260274,1.8310502283105023,1.9543378995433789,2.0182648401826486,,0.6894977168949772,0.7899543378995434,0.8721461187214612,0.954337899543379,1.0547945205479452,1.1506849315068493,1.2465753424657535,1.4337899543378996,1.538812785388128,1.63013698630137,1.726027397260274,1.7990867579908676,1.908675799086758,2.0228310502283104,,0.0,0.0,0.0,0.0,0.0045662100456621,0.0091324200913242,0.0091324200913242,0.0091324200913242,0.0182648401826484,0.0228310502283105,0.0365296803652968,0.0547945205479452,0.0684931506849315,0.0776255707762557,,0.0091324200913242,0.0182648401826484,0.0319634703196347,0.0410958904109589,0.0593607305936073,0.0821917808219178,0.091324200913242,0.1324200913242009,0.1643835616438356,0.1963470319634703,0.2420091324200913,0.2648401826484018,0.3013698630136986,0.3242009132420091,,0.5570776255707762,0.6073059360730594,0.6301369863013698,0.6666666666666666,0.6986301369863014,0.7579908675799086,0.776255707762557,0.821917808219178,0.8447488584474886,0.863013698630137,0.867579908675799,0.8949771689497716,0.908675799086758,0.9178082191780822,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6073059360730594,0.6164383561643836,0.0,0.0045662100456621,0.5205479452054794,0.0,,,,,,
joker_urna1,autocorr_lag,30,False,1531,657,1.1820664999977453,657,timeseries,0.5601217656012176,3,0.0,0.0015220700152207,0.4779299847792998,5,102.3,56.5,0.15,0.0,0.0,0.0,657,False,,0.649923896499239,0.7382039573820396,0.821917808219178,0.898021308980213,1.0136986301369864,1.1354642313546424,1.234398782343988,1.3637747336377473,1.4748858447488584,1.578386605783866,1.7031963470319635,1.8249619482496195,1.9452054794520548,2.0395738203957383,,0.649923896499239,0.7427701674277016,0.821917808219178,0.91324200913242,1.0319634703196348,1.1385083713850837,1.23896499238965,1.3820395738203957,1.491628614916286,1.6118721461187215,1.7321156773211568,1.8295281582952816,1.943683409436834,2.0487062404870624,,0.0,0.0,0.0,0.0,0.0045662100456621,0.0121765601217656,0.0121765601217656,0.0136986301369863,0.0197869101978691,0.0243531202435312,0.0365296803652968,0.0487062404870624,0.0624048706240487,0.0821917808219178,,0.0030441400304414,0.0091324200913242,0.0167427701674277,0.0273972602739726,0.0471841704718417,0.0669710806697108,0.0867579908675799,0.1171993911719939,0.1430745814307458,0.167427701674277,0.213089802130898,0.2480974124809741,0.289193302891933,0.3226788432267884,,0.5418569254185692,0.5799086757990868,0.6210045662100456,0.6529680365296804,0.7062404870624048,0.7503805175038052,0.7701674277016742,0.8127853881278538,0.8401826484018264,0.8660578386605784,0.8888888888888888,0.9117199391171994,0.923896499238965,0.9406392694063926,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5601217656012176,0.5662100456621004,0.0,0.0015220700152207,0.4779299847792998,0.0,,,,,,
