1 2 3 4 5 6
1 2 7 8 9 10
1 2 11 12 13 14
1 3 7 11 15 16
2 4 8 12 15 16
3 4 7 8 13 14
3 4 9 10 11 12
5 6 7 8 11 12
5 6 9 10 13 14
1 4 5 9 13 15
1 4 6 10 14 16
2 3 5 9 14 16
2 3 6 10 13 15
5 7 10 12 13 16
5 8 10 11 14 15
6 7 9 12 14 15
6 8 9 11 13 16
1 3 5 8 9 12
2 4 5 7 9 11
1 3 6 8 14 15
2 4 6 7 13 16
1 4 7 10 12 15
2 3 8 10 11 16
5 6 11 12 15 16
1 5 7 8 14 16
3 12 13 14 15 16
1 4 8 10 11 13
2 4 9 11 14 15
2 5 7 8 13 15
3 6 7 10 11 14
1 2 6 9 12 16
2 4 5 10 12 14
3 7 9 10 15 16
3 4 5 11 13 16
1 3 6 7 9 13
4 5 6 8 9 10
3 6 8 10 12 13
1 2 5 6 10 11
4 8 9 12 14 16
2 3 5 7 12 15
4 6 11 12 13 15
1 9 10 13 15 16
1 7 9 11 13 14
2 3 8 9 11 15
2 6 7 8 14 16
1 3 5 10 12 14
1 4 7 11 12 16
3 4 5 6 15 16
1 2 8 9 12 13
2 10 11 13 14 15
1 2 5 6 13 15
3 4 6 11 12 14
4 7 8 10 14 15
5 6 9 10 15 16
1 2 3 4 7 13
1 5 6 9 11 12
2 4 7 9 10 12
1 3 4 8 12 16
1 2 8 12 14 15
8 9 10 12 13 14
1 3 4 5 7 14
1 2 4 6 7 11
1 4 10 11 14 16
3 5 7 8 12 13
1 2 3 6 7 12
