1 2 3 4 5
1 2 6 7 8
1 2 9 10 11
1 2 12 13 14
1 3 6 9 12
1 3 7 10 13
1 3 8 11 14
1 4 6 10 14
1 4 7 9 15
1 4 8 12 16
1 5 6 11 13
1 5 7 14 16
1 5 8 10 15
2 3 6 10 15
2 3 7 9 14
2 3 8 13 16
2 4 6 9 13
2 4 7 10 12
2 4 8 11 15
2 5 6 12 16
2 5 7 13 15
3 4 6 7 11
3 4 8 9 10
3 4 12 13 15
3 5 7 8 12
3 5 9 11 15
3 10 11 12 16
4 5 8 13 14
4 9 11 12 14
5 6 7 9 10
6 7 12 14 15
6 8 9 11 16
6 8 10 12 13
7 9 12 13 16
9 10 13 14 15
1 6 13 15 16
2 4 14 15 16
2 5 10 11 14
2 8 9 12 15
4 5 10 13 16
7 8 10 14 16
1 7 11 12 15
3 5 6 13 14
7 8 9 11 13
3 7 8 15 16
4 5 6 8 15
4 5 7 11 16
11 13 14 15 16
5 8 9 14 16
1 2 9 10 16
1 5 9 12 13
2 3 11 12 13
3 4 6 14 16
3 5 10 12 14
2 6 7 11 16
4 6 10 11 15
5 10 12 15 16
6 8 11 12 14
1 4 11 13 16
7 10 11 13 14
1 2 3 14 15
1 6 8 9 14
1 3 5 9 16
2 5 8 10 11
4 7 8 13 14
4 5 6 9 12
1 3 8 13 15
1 4 5 11 12
2 9 11 15 16
7 8 10 11 15
2 6 8 10 14
1 10 12 14 15
3 4 9 15 16
3 6 7 13 16
3 9 10 11 13
4 5 7 14 15
2 3 12 14 16
6 9 10 14 16
2 4 5 8 9
6 11 12 13 15
1 2 8 10 13
1 2 5 6 15
1 6 10 11 16
5 7 9 11 12
2 6 9 11 14
3 5 6 8 16
4 6 7 12 16
1 2 7 11 16
3 7 10 15 16
3 8 12 14 15
1 7 8 9 12
5 8 9 13 16
1 4 9 11 14
2 4 10 13 16
3 4 10 11 14
2 9 10 12 15
6 7 9 13 15
1 2 4 6 12
1 3 4 5 7
1 12 13 14 16
2 3 7 8 12
2 5 12 14 15
3 4 6 8 11
2 3 9 13 14
4 5 11 12 13
5 6 11 14 15
1 4 7 10 13
2 3 5 6 10
2 8 12 15 16
4 8 9 10 12
1 5 8 11 12
2 3 4 7 11
1 3 4 10 15
1 4 9 13 15
1 5 7 10 12
1 8 9 14 15
2 6 8 13 14
3 5 11 15 16
2 4 7 8 14
2 5 7 9 13
3 7 9 11 14
4 7 9 10 14
4 8 10 13 16
1 3 7 13 14
2 3 8 9 12
4 5 6 7 8
1 2 5 14 16
1 3 6 12 15
1 6 9 15 16
3 5 10 11 13
3 6 10 11 12
4 11 12 14 16
5 7 8 12 13
1 3 8 10 14
2 5 7 9 16
4 6 9 13 14
1 2 10 11 13
1 3 4 7 12
2 6 7 10 14
3 4 5 9 10
3 6 7 8 9
8 9 10 11 16
1 2 3 4 6
1 4 6 8 11
1 5 9 13 14
1 8 11 12 16
2 4 5 6 15
2 7 8 11 14
3 4 7 13 15
5 6 7 10 15
6 8 10 14 15
1 2 6 7 12
1 3 4 5 16
2 4 6 9 16
2 4 7 8 12
2 5 12 13 16
3 4 10 13 14
3 7 9 14 15
1 2 3 5 8
1 2 3 7 10
1 2 6 7 11
1 2 7 13 16
2 3 7 9 10
4 5 7 8 9
8 9 12 14 15
1 2 4 11 13
1 2 5 6 12
1 2 6 9 10
1 5 8 11 13
1 7 10 12 13
